id,date,amount,currency,reference,counterparty,customer_id
p0024,2026-01-28,3867.93,EUR,INV-2026-0029,Hooli Oy,
p0027,2026-01-30,291.32,EUR,INV-2026-0019,Massive Dynamic Ltd,
p0021,2026-02-07,1926.58,EUR,INV-2026-0023,Hooli Oy,
p0014,2026-02-10,8778.30,EUR,INV-2026-0130,Umbrella GmbH,
p0038,2026-02-10,918.38,EUR,INV-2026-0032,Stark Solutions,
p0022,2026-02-11,2381.62,EUR,INV-2026-0024,Hooli Oy,
p0029,2026-02-12,223.90,EUR,INV-2026-00,Acme Kft,
p0005,2026-02-15,1758.29,EUR,INV-2026-0016,Wayne Industries,
p0039,2026-02-15,3867.70,EUR,#36,Stark Solutions,
p0012,2026-02-22,1159.66,EUR,INV-2026-0028,Umbrella GmbH,
p0018,2026-02-25,1344.45,EUR,INV-2026-0025,Globex Zrt,
p0023,2026-02-26,2381.62,EUR,INV-2026-0024,Hooli Oy,
p0004,2026-02-27,3701.83,EUR,2026/0009 0015/2026,Wayne Industries,
p0006,2026-03-01,2068.12,EUR,payment,Wayne Industries,
p0007,2026-03-02,1361.88,EUR,INV-2026-0021,Wayne Industries,
p0015,2026-03-08,33605.82,EUR,INV-2026-0035,Umbrella GmbH,
p0035,2026-03-19,4415.48,EUR,INV-2026-0012 INV-2026-0017,Stark Solutions,
p0025,2026-03-23,26535.05,EUR,,Hooli Oy,
p0040,2026-03-24,37645.16,EUR,monthly transfer payment,Initech BV,
p0011,2026-03-25,1159.67,EUR,INV-2026-0003,Umbrella GmbH,
p0008,2026-03-27,1411.37,EUR,INV-2026-00,Soylent SA,
p0037,2026-03-31,150.59,EUR,INV-2026-00,Stark Solutions,
p0000,2026-04-01,1069.02,EUR,INV-2026-0000,Vehement AB,
p0010,2026-04-03,2036.88,EUR,our ref 8842177,Soylent SA,
p0026,2026-04-03,291.32,EUR,INV-2026-0008,Massive Dynamic Ltd,
p0002,2026-04-04,290.55,EUR,INV-2026-0005,Wayne Industries,
p0020,2026-04-05,5563.91,EUR,INV-2026-0011 INV-2026-0014,Hooli Oy,
p0031,2026-04-08,234.53,EUR,INV-2026-0034,Acme Kft,
p0034,2026-04-12,1044.61,EUR,INV-2026-0039,Acme Kft,
p0036,2026-04-12,19934.52,EUR,INV-2026-0022,Stark Solutions,
p0028,2026-04-13,33199.90,EUR,INV-2026-0010,Acme Kft,
p0033,2026-04-15,1566.92,EUR,rent,Acme Kft,
p0009,2026-04-16,940.91,EUR,INV-2026-0002,Soylent SA,
p0013,2026-04-17,1592.23,EUR,INV-2026-0028,Umbrella GmbH,
p0030,2026-04-17,217.95,EUR,INV-2026-0031,Acme Kft,
p0019,2026-04-18,3867.93,EUR,our ref 8842177,Hooli Oy,
p0001,2026-04-21,36774.10,EUR,INV-2026-0001,Wayne Industries,
p0003,2026-04-22,145.06,EUR,INV-2026-0005,Wayne Industries,
p0017,2026-04-25,1444.24,EUR,INV-2026-0006,Globex Zrt,
p0016,2026-04-28,3949.61,EUR,0004/2026,Globex Zrt,
p0032,2026-04-28,223.90,EUR,szamla,Acme Kft,
