id,customer_id,customer_name,number,issue_date,due_date,amount,currency
i0000,c6,Vehement AB,INV-2026-0000,2026-02-28,,1069.02,EUR
i0001,c8,Wayne Industries,INV-2026-0001,2026-03-09,,36766.17,EUR
i0002,c4,Soylent SA,INV-2026-0002,2026-03-08,,2352.28,EUR
i0003,c3,Umbrella GmbH,INV-2026-0003,2026-03-11,,1159.67,EUR
i0004,c1,Globex Zrt,INV-2026-0004,2026-03-26,,3949.61,EUR
i0005,c8,Wayne Industries,INV-2026-0005,2026-03-24,,435.61,EUR
i0006,c1,Globex Zrt,INV-2026-0006,2026-04-03,,1444.24,EUR
i0007,c5,Hooli Oy,INV-2026-0007,2026-03-25,,3867.93,EUR
i0008,c7,Massive Dynamic Ltd,INV-2026-0008,2026-03-03,,291.32,EUR
i0009,c8,Wayne Industries,INV-2026-0009,2026-01-07,,435.61,EUR
i0010,c0,Acme Kft,INV-2026-0010,2026-03-25,,33199.90,EUR
i0011,c5,Hooli Oy,INV-2026-0011,2026-02-06,,800.67,EUR
i0012,c9,Stark Solutions,INV-2026-0012,2026-02-03,,3222.23,EUR
i0013,c2,Initech BV,INV-2026-0013,2026-03-16,,4057.59,EUR
i0014,c5,Hooli Oy,INV-2026-0014,2026-03-12,,4763.24,EUR
i0015,c8,Wayne Industries,INV-2026-0015,2026-02-12,,3266.22,EUR
i0016,c8,Wayne Industries,INV-2026-0016,2026-02-01,,1804.93,EUR
i0017,c9,Stark Solutions,INV-2026-0017,2026-02-24,,1193.25,EUR
i0018,c3,Umbrella GmbH,INV-2026-0018,2026-01-29,,1159.67,EUR
i0019,c7,Massive Dynamic Ltd,INV-2026-0019,2026-01-14,,291.32,EUR
i0020,c2,Initech BV,INV-2026-0020,2026-01-10,,33587.57,EUR
i0021,c8,Wayne Industries,INV-2026-0021,2026-02-10,,3404.72,EUR
i0022,c9,Stark Solutions,INV-2026-0022,2026-02-28,,19934.52,EUR
i0023,c5,Hooli Oy,INV-2026-0023,2026-01-16,,1968.89,EUR
i0024,c5,Hooli Oy,INV-2026-0024,2026-01-30,,4763.24,EUR
i0025,c1,Globex Zrt,INV-2026-0025,2026-02-03,,1360.18,EUR
i0026,c0,Acme Kft,INV-2026-0026,2026-01-18,,223.90,EUR
i0027,c9,Stark Solutions,INV-2026-0027,2026-03-28,,150.59,EUR
i0028,c3,Umbrella GmbH,INV-2026-0028,2026-03-24,,1592.23,EUR
i0029,c5,Hooli Oy,INV-2026-0029,2026-01-20,,3867.93,EUR
i0030,c3,Umbrella GmbH,INV-2026-0030,2026-01-29,,8778.30,EUR
i0031,c0,Acme Kft,INV-2026-0031,2026-04-02,,223.90,EUR
i0032,c9,Stark Solutions,INV-2026-0032,2026-01-18,,918.38,EUR
i0033,c4,Soylent SA,INV-2026-0033,2026-02-19,,2036.88,EUR
i0034,c0,Acme Kft,INV-2026-0034,2026-03-23,,223.90,EUR
i0035,c3,Umbrella GmbH,INV-2026-0035,2026-02-08,,33605.82,EUR
i0036,c9,Stark Solutions,INV-2026-0036,2026-01-27,,3867.70,EUR
i0037,c0,Acme Kft,INV-2026-0037,2026-04-02,,223.90,EUR
i0038,c5,Hooli Oy,INV-2026-0038,2026-03-14,,26774.71,EUR
i0039,c0,Acme Kft,INV-2026-0039,2026-03-07,,2611.53,EUR
