scenario,level,precision,recall,f1,review_rate,runtime_ms,payments,invoices,seeds
overall,0.0,1.0,1.0,1.0,0.0,97.9,400,400,5
overall,0.1,0.9975,0.9771,0.9872,0.0138,111.3,393,400,5
overall,0.2,0.9941,0.9283,0.96,0.0408,121.9,385,400,5
overall,0.3,0.9904,0.8743,0.9286,0.0835,132.8,378,400,5
overall,0.4,0.9839,0.7676,0.8623,0.1545,169.2,367,400,5
overall,0.5,0.971,0.7018,0.8146,0.1965,182.7,366,400,5
only:reference,0.5,1.0,0.9905,0.9952,0.0095,108.9,400,400,5
only:amount,0.5,1.0,1.0,1.0,0.0,94.8,400,400,5
only:structure,0.5,1.0,0.9962,0.9981,0.0016,115.3,366,400,5
only:collision,0.5,1.0,1.0,1.0,0.0,98.9,400,400,5
reference+amount,0.5,0.982,0.8985,0.9384,0.092,121.3,400,400,5
reference+structure,0.5,0.9801,0.8054,0.884,0.0987,143.4,366,400,5
reference+collision,0.5,0.9989,0.8895,0.9409,0.1095,121.9,400,400,5
